page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
3,0,0,0,0,14,6,/NAUQMW+CMR12,11.96,64.89,674.49,547.04,690.79,674.49,151.1,64.89,48.24,"a b, a aBasker Palaniswamy, Seyit Camtepe, Ernest Foo, Leonie Simpson, Mir Ali Rezazadeh"
3,0,0,0,0,4,13,/FUDOLA+CMR8,7.97,236.66,660.05,361.58,676.34,660.05,165.55,236.66,233.69,"a b,cBaee, Josef Pieprzyk"
3,0,0,0,0,6,14,/AXOEFS+CMTI7,6.97,167.05,640.12,455.69,653.7,640.12,188.19,167.05,139.59,"aInformation Security Discipline, QUT, Brisbane, Australia"
3,0,0,0,0,4,14,/AXOEFS+CMTI7,6.97,220.92,628.17,379.64,641.75,628.17,200.14,220.92,215.64,"bCSIRO Data61, Sydney, Australia"
3,0,0,0,0,10,14,/AXOEFS+CMTI7,6.97,127.67,616.21,495.59,629.79,616.21,212.1,127.67,99.68,"cInstitute of Computer Science, Polish Academy of Sciences, Warsaw, Poland"
3,0,0,0,0,13,6,/NAUQMW+CMR12,11.96,82.07,535.34,584.19,547.29,535.34,294.6,82.07,11.09,"Vehicular Ad-hoc Network (VANET) services use a range of information, such as traﬃc"
3,0,0,0,0,218,6,/NAUQMW+CMR12,11.96,64.51,275.31,626.41,532.85,275.31,309.04,64.51,-31.13,"conditions and location information, for safe and convenient driving. Information exchange in VANET happens in Vehicle-to-Infrastructure (V2I) and Vehicle-to-Vehicle (V2V) communication modes. Several V2I and V2V authentication protocol suites are proposed to protect the information from attacks, namely replay, masquerading and man-in-the-middle. This paper identiﬁes critical weaknesses in the protocols proposed for V2I and V2V communication modes and proposes a new protocol suite as a countermeasure. Our protocol suite is composed of driver authentication, V2I and V2V key exchanges, information exchange, oﬄine password change and vehicle complain protocols. Our V2I key exchange protocol facilitates handoﬀ capability to ensure continuous authentication when vehicles move from the coverage of one roadside unit (RSU) to another. The protocol also assures detectability to denial-ofservice (DoS). Our V2V key exchange protocol enables vehicles to verify the time-bounded validity of certiﬁcates of vehicles and integrity of keys. We use the random oracle model to prove the security of our key exchange protocols and prove various security attributes of the protocols informally. Tamarin tool is used to formally verify the security properties of our driver authentication and key exchange protocols. Performance comparisons show that our driver authentication and key exchange protocols assure lesser computation overhead and more functional attributes than the existing protocols. Simulation performance ensures the fast key dissemination capability of our protocol suite."
3,0,0,0,0,3,6,/GGAXSG+CMTI12,11.96,64.51,254.06,381.32,266.01,254.06,575.88,64.51,213.95,Keywords: Vehicle-to-vehicle/Roadside/Internet Communication;
3,0,0,0,0,15,6,/NAUQMW+CMR12,11.96,64.51,225.17,566.63,251.57,225.17,590.32,64.51,28.65,Secure-vehicular-communication; Security and Privacy; VANET Authentication; V2I and V2V Key Exchange; Handoﬀ Authentication; Formal Veriﬁcation.
3,0,0,0,0,4,9,/SUOVAD+CMR10,9.96,82.44,169.24,206.98,179.21,169.24,662.68,82.44,388.3,I am corresponding author
3,0,0,0,0,5,9,/CFILAE+CMTI10,9.96,82.44,157.29,269.77,167.25,157.29,674.64,82.44,325.51,"Email addresses: basker170889@gmail.com (Basker Palaniswamy),"
3,0,0,0,0,17,9,/XPTSRV+CMTT10,9.96,64.51,121.42,389.29,155.3,121.42,686.59,64.51,205.98,"Seyit.Camtepe@data61.csiro.au (Seyit Camtepe),  e.foo@qut.edu.au (Ernest Foo), lr.simpson@qut.edu.au (Leonie Simpson),  mirali.rezazadeh@qut.edu.au (Mir Ali Rezazadeh Baee), josef.pieprzyk@data61.csiro.au (Josef Pieprzyk)"
3,0,0,0,0,8,9,/CFILAE+CMTI10,9.96,64.51,83.21,373.35,93.17,83.21,748.72,64.51,221.92,"Preprint submitted to Vehicular Communication January 16, 2020"
4,0,0,0,0,10,6,/NAUQMW+CMR12,11.96,82.07,683.46,614.08,695.42,683.46,146.47,82.07,-18.8,"Advancements in vehicular technologies (pedestrian detection system [1], advanced driver"
4,0,0,0,0,113,6,/NAUQMW+CMR12,11.96,64.51,553.45,614.45,680.97,553.45,160.92,64.51,-19.18,"assistance system (ADAS) [2] and cooperative adaptive cruise control (CACC) [3]) ) ensure vehicles to use various information in vehicular ad-hoc network (VANET). The technologies have the potential to assure safer and easier driving than ever before [4]. When vehicles use information from roadside infrastructures (RSUs) and other vehicles, several beneﬁts can be attained by the vehicles. For instance, when vehicles operate in a platoon, improved fuel eﬃciency can be attained by exploiting information about current driving conditions [5]. Location-based safety information (LBSI) informs drivers about upcoming obstacles or nearest fuel stations [6]. The information is predominantly exchanged to vehicles using vehicle to infrastructure (V2I) and vehicle to vehicle (V2V) communication modes [7]."
4,0,0,0,0,10,6,/NAUQMW+CMR12,11.96,82.07,539.0,584.19,550.96,539.0,290.93,82.07,11.09,"The information needs protection against adversarial manipulations, such as message"
4,0,0,0,0,42,6,/NAUQMW+CMR12,11.96,64.51,495.66,644.34,536.51,495.66,305.38,64.51,-49.06,"alteration and fake message injection, from untrusted sources, e.g. untrusted vehicles and infrastructures [8] [9]. For example, if a malicious vehicle alters the information about a road condition and transmits it to a targeted vehicle, the receiving vehicle may face accidents [10]."
4,0,0,0,0,12,6,/NAUQMW+CMR12,11.96,82.07,481.22,578.21,493.17,481.22,348.72,82.07,17.06,The information can be protected by ensuring an authentication protocol suite. Re-
4,0,0,0,0,167,6,/NAUQMW+CMR12,11.96,64.51,278.98,632.38,478.73,278.98,363.16,64.51,-37.11,"searchers have proposed several authentication protocol suites [11, 12, 13, 14, 15] to assure protection for the information. The proposed suites include authentication protocols for driver authentication, and V2I and V2V communication modes. However, the proposed protocols have drawbacks such as lack of resistance to adversarial attacks, excess computation and practicality. The existing V2I key exchange protocols do not oﬀer continuous authentication while disseminating keys to vehicles. That is, the protocols do not support continuous key exchange when vehicles move from the coverage of one roadside infrastructure to another roadside infrastructure (handoﬀ capability [16]). Continuous authentication is needed to disseminate session keys to vehicles quickly. The existing V2V key exchange protocols do not facilitate vehicles to asses the time-bounded validity of certiﬁcates at a lower computation overhead, which may result in those vehicles with expired certiﬁcates receiving valid session keys. Also, the existing protocols for the driver authentication and V2I and V2V key exchange protocols have not been formally veriﬁed. Therefore, our ﬁve-folded contributions are as follows:"
4,0,0,0,0,81,6,/NAUQMW+CMR12,11.96,93.78,130.53,619.81,263.53,130.53,578.36,93.78,-24.53,"We perform a security analysis of Park et al. [17] and Ying et al. [15] protocol suites and identify their weaknesses. We present a driver authentication protocol which can resist to known attacks, namely replay, masquerading and man-in-the-middle [18]. We propose V2I and V2V key exchange protocols. In particular, our V2I key exchange protocol exhibits continuous authentication characteristics. Our V2V key exchange protocol facilitates vehicles to check the time-bounded validity of a certiﬁcate of a vehicle and integrity of session keys."
5,0,0,0,0,74,6,/NAUQMW+CMR12,11.96,82.07,597.28,601.87,718.83,597.28,123.06,82.07,-6.6,We perform the security analysis of our key exchange protocols in the random oracle model [19]. We perform formal security veriﬁcation of the proposed protocol suite using the Tamarin tool. We simulate our protocol suite and compare its key dissemination capability with the protocol of Park et al. [17]. We show that our protocol suite also has a fast key dissemination capability. The outcome of this research beneﬁts vehicle manufacturers and smart city domains.
5,0,0,0,0,58,6,/NAUQMW+CMR12,11.96,64.51,525.05,632.38,594.79,525.05,247.1,64.51,-37.11,"Vehicle manufacturers can follow the design steps in the proposed driver authentication protocol for implementing a driver authentication system. The new protocol suite assures design steps for implementing a secure LBSI service in a smart city. In general, this research helps VANET community on implementing a fast and secure key exchange protocol for V2I and V2V communication modes."
5,0,0,0,0,16,6,/NAUQMW+CMR12,11.96,82.07,510.61,608.1,522.56,510.61,319.33,82.07,-12.82,The road map of this paper is as follows. Section 2 overviews the related work. Section
5,0,0,0,0,98,6,/NAUQMW+CMR12,11.96,64.51,409.49,620.43,508.12,409.49,333.77,64.51,-25.15,"3 presents the preliminaries. In Section 4, we analyse the security of the Park et al. and Ying et al. protocol suites. We describe our protocol suite in Section 5. Section 6 presents formal security proofs in the random oracle model and informal security analysis of our protocol suite. Formal security veriﬁcation is presented in Section 7. Sections 8 provides a performance comparison of our protocol suite with relevant protocols. Section 9 presents the comparison of the simulation performance of our protocol suite with the protocol suite of Park et al. [17], and Section X concludes our work."
5,0,0,0,0,3,6,/LNZLED+CMBX12,11.96,64.51,377.11,154.18,389.06,377.11,452.83,64.51,441.1,2. Related Work
5,0,0,0,0,14,6,/NAUQMW+CMR12,11.96,82.07,353.7,584.19,365.65,353.7,476.24,82.07,11.09,We identify two categories in the existing proposals to secure V2I and V2V communi-
5,0,0,0,0,39,6,/NAUQMW+CMR12,11.96,64.51,310.36,584.56,351.21,310.36,490.68,64.51,10.71,"cation modes in VANET. They are V2I and hybrid schemes that incorporate both V2I and V2V communication modes. In the following subsections, we analyse the existing V2I and hybrid schemes with a speciﬁc focus on their security and eﬃciency."
5,0,0,0,0,3,6,/GGAXSG+CMTI12,11.96,64.51,283.96,160.15,295.91,283.96,545.98,64.51,435.12,2.1. V2I Schemes
5,0,0,0,0,11,6,/NAUQMW+CMR12,11.96,82.07,266.52,572.23,278.48,266.52,563.41,82.07,23.04,The existing protocols for the V2I communication mode has disadvantages regarding
5,0,0,0,0,130,6,/NAUQMW+CMR12,11.96,64.51,107.62,614.45,264.03,107.62,577.86,64.51,-19.18,"excess computation overhead and impracticality. The V2I protocols are infrastructure dependent, and they are executed among three parties: a vehicle, an RSU and a trusted server/service provider. Some of the protocols are simpliﬁed into two-party protocols by merging an RSU with a trusted server/service provider. For example, Huang et al. [12] have proposed an anonymous batch authenticated and key agreement protocol for value-added service, which is referred to as ABAKA. ABAKA removes the bottleneck of veriﬁcation delay by employing batch veriﬁcation procedure. As a result, multiple vehicle authentications and vehicle key agreements are possible in the protocol. Further, the protocol preserves the privacy of vehicles. However, ABAKA establishes pairwise keys to secure communication between vehicles and a service provider, and it demands time synchronization between vehicles and the service provider."
6,0,0,0,0,16,6,/NAUQMW+CMR12,11.96,82.07,706.87,596.14,718.83,706.87,123.06,82.07,-0.87,"Chim et al. [13] have proposed a protocol suite, which is referred to as SPECS. SPECS"
6,0,0,0,0,52,6,/NAUQMW+CMR12,11.96,64.51,649.09,614.45,704.38,649.09,137.51,64.51,-19.18,"oﬀers an eﬃcient batch veriﬁcation mechanism and a handshake protocol to share a key between a vehicle, and an RSU and a trusted authority. The protocol establishes group keys among vehicles. The protocol facilitates vehicles to form a group dynamically. The protocol uses digital signatures and also exhibits a signiﬁcant computation overhead."
6,0,0,0,0,13,6,/NAUQMW+CMR12,11.96,82.07,634.64,572.23,646.6,634.64,195.29,82.07,23.04,Wang et al. [11] have proposed the 2FLIP protocol. 2FLIP applies two-factor (i.e.
6,0,0,0,0,65,6,/NAUQMW+CMR12,11.96,64.51,562.41,620.43,632.15,562.41,209.74,64.51,-25.15,"biometrics and a hardware token) driver authentication with an option to trace every driver. The protocol has a system key update phase. As the protocol derives the current key from the most recent one, there is a risk that all future keys can be compromised once one of the past keys is compromised. This protocol also utilises digital signature algorithm during the key update phase."
6,0,0,0,0,16,6,/NAUQMW+CMR12,11.96,82.07,547.97,572.23,559.92,547.97,281.97,82.07,23.04,The PACP protocol has been proposed by Huang et al. [20] to ensure the privacy of
6,0,0,0,0,50,6,/NAUQMW+CMR12,11.96,64.51,490.18,620.43,545.48,490.18,296.41,64.51,-25.15,"vehicles during authentication. The protocol has three phases: registration, generation and extraction. The protocol allows vehicles to complain about other misbehaving vehicles to a trusted server. Nevertheless, an adversary can make fake complaints about vehicles to the trusted server as the vehicle complain protocol does not require authentication of vehicles."
6,0,0,0,0,14,6,/NAUQMW+CMR12,11.96,82.07,475.74,590.17,487.69,475.74,354.2,82.07,5.11,Horng et al. [14] have analysed and presented two impersonation attacks on the SPECS
6,0,0,0,0,96,6,/NAUQMW+CMR12,11.96,64.51,374.62,620.43,473.25,374.62,368.64,64.51,-25.15,"protocol. In the ﬁrst impersonation attack, Horng et al. [14] have shown a malicious vehicle can forge the signature for a message on behalf of a group member. In the second attack, Horng et al. [14] have shown that an attacker can forge the signature for a group message. An improved protocol called b-SPECS+ has been proposed in the work [14]. However, to prevent the replay attack, b-SPECS+ forces RSUs to store the pseudo-identities used by vehicles. It should be noted that RSUs are susceptible to hardware tampering and less trusted than a trusted authority [21]."
6,0,0,0,0,15,6,/NAUQMW+CMR12,11.96,82.07,360.17,572.23,372.13,360.17,469.76,82.07,23.04,"A light-weight group key protocol has been proposed by Ying et al. [15], which is"
6,0,0,0,0,83,6,/NAUQMW+CMR12,11.96,64.51,273.5,644.34,357.68,273.5,484.21,64.51,-49.06,"referred to as LGKP. LGKP proposes anonymous light-weight authentication based on a smart card that creates a dynamic login ID for drivers and also facilitates to trace the drivers individually. LGKP proposes an eﬃcient password change phase that does not require the involvement of the trusted authority. The driver authentication protocol does not preserve the privacy of drivers. The security limitations of the protocol suite are presented in Section 4. In general, all the protocols presented above does not support the handoﬀ capability."
6,0,0,0,0,17,6,/NAUQMW+CMR12,11.96,82.07,259.05,643.97,271.01,259.05,570.88,82.07,-48.69,"Li et al. [22] have proposed a protocol suite, which is referred to as LIAP. LIAP facilitates"
6,0,0,0,0,63,6,/NAUQMW+CMR12,11.96,64.51,186.82,608.47,256.56,186.82,585.33,64.51,-13.2,"the handoﬀ capability with less handoﬀ delay. The purpose of LIAP is to establish a shared session key between a vehicle and an authentication server based on the pre-shared login details. LIAP does not require a separate authenticated key exchange protocol for sharing session keys. However, LIAP employs a conventional public-key cryptosystem for performing encryption and decryption operation, which incurs heavy computation overhead."
6,0,0,0,0,17,6,/NAUQMW+CMR12,11.96,82.07,172.38,620.06,184.33,172.38,657.56,82.07,-24.78,Zhou et al. [23] have analysed LIAP. Zhou et al. [23] have found that LIAP lacks privacy-
6,0,0,0,0,34,6,/NAUQMW+CMR12,11.96,64.51,129.04,608.47,169.89,129.04,672.0,64.51,-13.2,"preserving property and susceptible to impersonation attack. In response, Zhou et al. [23] have proposed a privacy-aware fast handover authentication protocol, which is referred to as PAFH. Nevertheless, PAFH does not provide formal veriﬁcation."
7,0,0,0,0,3,6,/GGAXSG+CMTI12,11.96,64.51,706.87,178.09,718.83,706.87,123.06,64.51,417.19,2.2. Hybrid Schemes
7,0,0,0,0,12,6,/NAUQMW+CMR12,11.96,82.07,689.58,590.17,701.54,689.58,140.35,82.07,5.11,Very few protocol suites address the authentication of V2V communication mode. Zhang
7,0,0,0,0,72,6,/NAUQMW+CMR12,11.96,64.51,602.91,602.5,687.09,602.91,154.8,64.51,-7.22,"et al. [24] have proposed a scalable and robust authentication protocol (SRAP) to prevent malicious vehicles from masquerading as a legitimate vehicle. During V2I and V2V communication, SRAP uses a computationally expensive operation, namely the signcryption algorithm. SRAP maintains group communication between RSU and vehicles. However, in SRAP, V2V communication cannot be established between two vehicles that belong to two diﬀerent groups as each RSU individually establishes a key exchange with vehicles."
7,0,0,0,0,14,6,/NAUQMW+CMR12,11.96,82.07,588.46,596.14,600.41,588.46,241.48,82.07,-0.87,Azees et al. [6] have proposed the EAAP protocol that permits vehicles to communicate
7,0,0,0,0,81,6,/NAUQMW+CMR12,11.96,64.51,501.78,626.41,585.97,501.78,255.92,64.51,-31.13,"in the absence of RSU coverage. The protocol achieves the infrastructure-independent V2V communication by generating a suﬃcient number of short-term public keys during registration. However, EAAP communication between vehicles allows an adversary to link the short-term public keys because a static dummy ID for the vehicles is used in every session of the protocol. Also, messages transmitted from one vehicle to another are prone to a replay attack as they do not carry timestamps. SRAP is also susceptible to replay attacks."
7,0,0,0,0,14,6,/NAUQMW+CMR12,11.96,82.07,487.34,608.1,499.29,487.34,342.6,82.07,-12.82,Park et al. [17] have proposed a privacy-preserving group key protocol that is referred
7,0,0,0,0,86,6,/NAUQMW+CMR12,11.96,64.51,400.66,626.41,484.85,400.66,357.04,64.51,-31.13,"to as FKDP. FKDP oﬀers a V2V group key dissemination, where the validity of a certiﬁcate (i.e. time-bounded validity of a public key issued by a trusted server) of a vehicle can be veriﬁed by another vehicle without contacting a server. They achieve a V2V key exchange in the absence of the coverage of RSU by enabling a vehicle with an updated key to update remaining vehicles. But their protocol is also prone to attacks. A detailed security analysis of FKDP is presented in Section 4."
7,0,0,0,0,13,6,/NAUQMW+CMR12,11.96,82.07,357.11,596.14,369.07,357.11,472.82,82.07,-0.87,The protocols discussed for the V2I communication mode fall into two categories. They
7,0,0,0,0,94,6,/NAUQMW+CMR12,11.96,64.51,241.55,614.45,354.62,241.55,487.27,64.51,-19.18,"are protocols that provide a light-weight authentication which does not have handoﬀ capability and the protocols that support handoﬀ capability with substantial computation overheads. Therefore, we intend to design a light-weight authentication protocol that supports handoﬀ capability and additional functional features for V2I communication mode. There has not been any protocol proposed for the V2V communication mode to exchange group keys without security issues. So we design an authenticated key exchange protocol suite for V2V communication mode that is free from known attacks. We design a privacy-preserving authentication scheme for driver authentication in vehicles."
7,0,0,0,0,11,6,/NAUQMW+CMR12,11.96,82.07,186.04,614.08,197.99,186.04,643.9,82.07,-18.8,This section provides an introduction to pairing along with computational intractability
7,0,0,0,0,10,6,/NAUQMW+CMR12,11.96,64.51,171.59,530.76,183.55,171.59,658.34,64.51,64.51,"assumptions, network and adversary models and security goals and requirements."
7,0,0,0,0,3,6,/GGAXSG+CMTI12,11.96,64.51,145.34,190.04,157.29,145.34,684.6,64.51,405.23,3.1. Bilinear mapping
7,0,0,0,0,13,6,/NAUQMW+CMR12,11.96,82.07,128.04,583.69,140.0,128.04,701.89,82.07,11.59,"Pairing is a map e with characteristics of simple computations, non-degeneracy and bi-"
7,0,0,0,0,30,6,/NAUQMW+CMR12,11.96,64.51,99.15,620.43,125.55,99.15,716.34,64.51,-25.15,"linearity [25]. It establishes a relation between cryptographic groups by combining elements of two groups to yield an element in a third group. In elliptic curve, paring is a recent"
8,0,0,0,0,4,9,/SUOVAD+CMR10,9.96,250.7,595.03,355.31,604.99,595.03,236.9,250.7,239.97,Figure 1: Ate Pairing
8,0,0,0,0,75,6,/NAUQMW+CMR12,11.96,64.51,499.79,629.45,569.52,499.79,272.37,64.51,-34.17,"addition which brings in encrypted multiplication capabilities. For example, with pairing, it p q and is possible to check quadratic constraints such as pq=r by only knowing P=G, Q=G r (p, q and r are scalar values, and P, Q and R are elliptic curve points on three groups, R=G and G is the generating point). This paper uses pairing in the proposed V2V protocol for eﬃciently checking such quadratic constraints by using elliptic curves."
8,0,0,0,0,18,6,/NAUQMW+CMR12,11.96,82.07,485.34,557.36,497.3,485.34,344.59,82.07,37.92,"Consider three subgroups ( G,+), ( G ,+) and ( G , ·) deﬁned by three elliptic curves12T"
8,0,0,0,0,53,6,/NAUQMW+CMR12,11.96,64.51,427.56,614.45,487.19,427.56,354.7,64.51,-19.18,"kE(F(q)), E(F(q)) and E (F(q )), respectively. The groups are of prime order q. P and Q are points of the group G G , respectively, Further, let a map e: G G G1 and21 ×2 → T be an admissible bilinear map that satisﬁes the following properties: bilinearity, non-degenerate and computability [25]."
8,0,0,0,0,3,6,/GGAXSG+CMTI12,11.96,64.51,401.16,160.15,413.11,401.16,428.78,64.51,435.12,3.2. Ate pairing
8,0,0,0,0,16,6,/NAUQMW+CMR12,11.96,82.07,383.72,584.19,395.68,383.72,446.21,82.07,11.09,"The bilinear map can be computed by three types of pairing. They are Weil, Tate and"
8,0,0,0,0,35,6,/NAUQMW+CMR12,11.96,64.51,354.83,602.5,381.23,354.83,460.66,64.51,-7.22,"Ate pairings. We consider ate pairing because it is more eﬃcient than other pairings. Let 2 3 +E(F) be a collection of points deﬁned by the elliptic curve E( F):y=x ax+ b  mod r ,"
8,0,0,0,0,34,6,/NAUQMW+CMR12,11.96,64.51,325.94,613.62,352.34,325.94,489.55,64.51,-18.34,"where (a,b) F q [26]. A pairing-friendly curve is a Barreto-Naehrig (BN) curve, which is rep2 3 +resented as E(F):y=x b mod r , where b F . The bilinear map is usually implemented"
8,0,0,0,0,30,6,/NAUQMW+CMR12,11.96,64.51,297.05,632.38,323.45,297.05,518.44,64.51,-37.11,"using Weil and Tate pairings. But, for better performance, the map is implemented using Ate pairing [27]. Ate pairing is an optimized version of Tate pairing. Ate pairing is achieved"
8,0,0,0,0,12,6,/NJVWMM+CMMI12,11.96,64.51,282.6,483.76,298.89,282.6,543.0,64.51,111.51,"q qby the Frobenius endomorphism π, i.e. π: EE:(x,y)(x,y). Now, G  G"
8,0,0,0,0,6,13,/VYYMPD+CMMI8,7.97,241.74,280.81,534.07,292.76,280.81,549.13,241.74,61.2,q q 1 and 2 can
8,0,0,0,0,9,6,/NAUQMW+CMR12,11.96,64.51,268.15,542.19,284.45,268.15,557.44,64.51,53.08,"k be written as G= E(r)Ker([1])=E(F)[r] and G=E(r)Ker([q])=E(F r],"
8,0,0,0,0,9,13,/VYYMPD+CMMI8,7.97,147.46,265.2,522.04,278.32,265.2,563.57,147.46,73.23,1 q − q 2 q − q )[
8,0,0,0,0,18,6,/NAUQMW+CMR12,11.96,64.51,251.92,560.81,265.66,251.92,576.23,64.51,34.46,where Ker  denotes the kernel of π  E (r) speciﬁes r torision which means that entire q and
8,0,0,0,0,18,6,/NAUQMW+CMR12,11.96,64.51,238.07,445.52,250.02,238.07,591.87,64.51,149.76,"group of points of order r. The Ate pairing is given by T(Q,P ) = f (P )r,Q"
8,0,0,0,0,24,6,/NAUQMW+CMR12,11.96,64.51,222.43,548.39,234.38,222.43,607.51,64.51,46.88,"= f (P ) , where r is not the factor of m, f = r(Q )-r(O ), O is a point at inﬁnity,mr,Qr,Q"
8,0,0,0,0,27,6,/NJVWMM+CMMI12,11.96,64.51,206.19,547.66,219.93,206.19,621.96,64.51,47.62,"T is a tate pairing, m Z , P E (r) Ker ( [1]) and Q E (r) Ker ( [q]). We use the pq −q −"
8,0,0,0,0,25,6,/NAUQMW+CMR12,11.96,64.51,179.09,614.45,205.49,179.09,636.4,64.51,-19.18,same notations as presented in [26]. Figure 1 presents the Ate pairing. It presents the way a mapping operation is done in a targeted group.
8,0,0,0,0,13,6,/NAUQMW+CMR12,11.96,82.07,164.64,596.14,176.6,164.64,665.29,82.07,-0.87,"Now, we discus the computational intractability assumptions that are used in our pro-"
8,0,0,0,0,9,6,/GGAXSG+CMTI12,11.96,82.07,135.75,578.21,147.71,135.75,694.18,82.07,17.06,Computational intractability 1: Elliptic Curve Discrete logarithmic problem (ECDLP)
8,0,0,0,0,24,6,/NAUQMW+CMR12,11.96,64.51,106.86,544.25,133.26,106.86,708.63,64.51,51.03,"Given P  and x P in E (F(q)), where x ∈ Z , it is computationally infeasible to ﬁnd x in p polynomial time."
9,0,0,0,0,10,6,/GGAXSG+CMTI12,11.96,82.07,706.87,530.39,718.83,706.87,123.06,82.07,64.88,Computational intractability 2: Elliptic Curve Diﬃe-Hellman problem (ECDHP) – Given
9,0,0,0,0,30,6,/NJVWMM+CMMI12,11.96,64.51,677.98,578.17,704.38,677.98,137.51,64.51,17.11,"P , x P and y P in E (F(q)), where x,y ∈ Z , it is computationally infeasible to compute p the product x y P in polynomial time."
9,0,0,0,0,9,6,/GGAXSG+CMTI12,11.96,82.07,663.53,578.21,675.49,663.53,166.4,82.07,17.06,Computational intractability 3: Elliptic Curve q-Strong Diﬃe-Hellman problem (ECq-
9,0,0,0,0,39,6,/NAUQMW+CMR12,11.96,64.51,634.64,551.73,661.04,634.64,180.85,64.51,43.55,"SDHP) – Based on the q-SDH problem [28], we deﬁne ECq  − SDHP as follows: Given a 2 · q · k q+1(q+ 3)-tuple (t, P, Q, xQ, xQ, . . . , xQ) ∈ZE(F(q)) ×E(F(q) ), it is"
9,0,0,0,0,3,13,/VYYMPD+CMMI8,7.97,143.73,632.85,374.13,644.8,632.85,197.09,143.73,221.14,d p ×
9,0,0,0,0,19,6,/NAUQMW+CMR12,11.96,64.51,616.07,549.62,632.15,616.07,209.74,64.51,45.66,"P ) ∈ Z E (F(q)) in polynomial computationally intractable to come with a pair ( δ, 1px+t ·"
